ree,support,confidence,error
0(t0)^0(t1) ^ t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.0000072808,0.9652137024074663,"10547,48919,20710,10920,30892,25408,43814,37191,40646,2196,25640,41821,32684,22071,8206,86,31996,46553,29052,47530,23721,36935,39474,12459,49957,43590,29940,7140,6136,4047,38681,46612,42677,28349,28892,43993,31463,15897,27058,29639,10213,20944,24082,13045,7900,29250,9361,37996,39429,33273,37671,19695,26343,22439,29507,31997,42402,39790,36252,5085,37804,16176,38555,43516,32961,20508,26378,32279,5030,31181,1158,14684,30936,41069,10472,29925,24514,7218,39435,31413,26211,9244,49706,4799,26963,35178,17786,42593,37422,7310,39243,16175,29010,12902,16489,45986,21378,49340,48764,15067,17444,15823,47092,35637,30891,32926,28203,34278,36583,31455,46831,6017,24553,30506,48880,19452,25718,17896,30209,42367,9669,27700,5722,47738,26638,25187,20129,4016,48709,5902,3216,23919,24480,16657,49387,37603,16362,17013,13453,44039,6192,31621,20339,18458,26284,15966,48282,40342,4551,6375,41340,32017,39765,24287,4018,39622,33238,34408,24827,9212,23480,3194,30817,27463,44974,916,7513,41647,5621,23131,23383,6575,35219,19445,48557,19768,17605,6597,45394,16841,33223,45506,4043,42557,2929,9506,33044,37421,11492,34221,18789,24251,15743,41306,25346,5968,8208,23784,34082,22930,45013,41586,18882,35690,10756,12706,14227,14618,8546,19785,10170,17904,16897,49109,44319,47822,27762,10550,47746,48446,47238,13086,23304,47303,20359,17795,14036,41335,45640,35110,25663,42896,26234,24412,35269,30093,6008,1745,44657,40063,46874,47759,29467,3412,43903,32438,47693,40683,8,23471,27401,13929,8854,35705,26597,41593,15969,35832,41851,19662,47993,5452,28700,2898,29126,21047,13255,42682,25140,32405,8460,10743,7017,30713,49215,33961,38781,35145,6828,19639,30432,32553,38573,9646,6643,41740,32791,25977,27701,30530,47415,35382,601,15551,47127,48746,45119,24587,30992,20766,37605,29089,25911,9243,37575,1354,30646,4941,5256,42774,696,8433,46538,19075,1945,23602,4403,22152,16818,47784,11380,20522,3896,22697,2373,940,12299,30784,22961,10468,31762,27850,28620,40347,28652,15483,23800,3024,44333,35582,2792,5978,44383,23499,16946,40942,21672,29470,33471,26149,6527,30274,10515,3302,7654,2777,1477,27901,31521,14462,17560,38407,11542,18285,23590,42498,47038,14534,5720,16763,2093,29729,35737,35766,27162,12873,5717,35911,38291,13793,19148,3124,38702,32089,39543,21284,6193,11742"
0(t0)^0(t1) ^ t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.000006496,0.9997537552327013,11698
0(t0)^0(t1) ^ t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.000007452,0.9622933884297521,"33485,24835,1716,30347,40279,45001,48438,36457,22216,3319,13443,647,38276,3842,47981,7018,22028,23141,12517,12862,34958,40242,30230,6382,42121,20598,29113,33477,15044,35831,20254,15712,48149,24821,42492,41888,16472,20987,24294,42484,23490,45280,16063,7239,22397,32232,32961,6375,18320,23309,47077,3732,31068,29811,12843,19835,16831,25623,32505,13854,28094,11114,14279,41049,35029,16154,832,35761,27225,42629,24001,12710,34291,20908,25186,10450,25167,22035,22000,42834,17701,15017,3549,2488,22064,39231,20959,32803,13015,21626,26625,9919,16675,4286,6694,12877,39988,21203,31370,35933,26582,28692,3757,28749,32114,13905,1032,11305,43464,43027,46555,173,10775,5711,2433,6421,18892,44046,11620,28327,43028,26189,37809,46177,46278,28905,43513,43306,9947,19892,1667,46392,32771,43068,1283,48908,3682,28152,32089,20713,48984,18655,10149,21522,47729,1103,37614,22471,49269,32433,13771,253,29996,12629,48576,1235,49282,32071,47057,21317,3728,43437,21782,49332,44031,37141,26577,7703,21551,49688,8923,15811,45199,47316,30962,23056,37138,42443,37513,3564,36749,15565,28892,38750,31591,40579,6302,14467,2644,25716,20917,20670,16108,32955,32608,43728,26204,41460,18488,36250,10142,5252,7481,32791,25830,33511,41378,42648,11864,23323,18985,3096,5253,49301,40380,18799,20445,14578,30660,43115,8913,36061,3912,15617,37953,27601,43735,11904,4766,16692,39755,21004,24028,39671,34077,30242,32289,11463,14583,23581,5161,39719,42376,1422,32760,6076,16049,32386,14042,35114,48040,31222,6732,23394,24155,47035,44311,11515,7625,13419,47833,10713,30906,7750,2513,8546,585,25992,8383,730,25363,4325,26071,24256,22388,29577,33818,38678,49873,49359,31197,3382,15747,5839,10863,2118,9727,30683,25742,48753,46710,10552,44133,43010,15840,698,16731,7322,9667,44606,14206,44164,32186,38924,13982,42723,30274,41405,28805,8938,36312,31555,22687,37302,42593,35277,33299,46518,21332,48113,17853,43489,11446,16326,34811,2555,22778,11577,24536,43477,17044,7283,40434,21270,36483,30576,1480,14004,11018,17999,45858,37186,2806,23548,3290,15223,18221,42213,34638,7480,30967,23883,13709,45679,25911,42110,28203,38764,5220,21777,2864,931,44223,34669,42023,32847"
0(t0)^0(t1) ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.MONTH=t1.MONTH ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.0000029912,0.9860232067510548,"43099,40948,28674,24393,38046,25583,998,33622,28982,35645,24720,22540,43954,36851,1912,29446,3672,36548,42727,3514,8133,39582,16792,11732,28081,13100,7803,10530,22058,37475,44881,43663,38417,6739,32034,48043,9053,5760,12074,44559,17537,16559,30541,15034,37845,21650,49209,7458,30373,21615,4636,42922,17975,20478,25674,28631,14971,25880,48220,35709,38929,11698,21211,19168,10791,16971,44571,46308,38214,17029,26114,29030,1737,42164,18983,3791,37120,43746,18647,45524,8448,18651,10261,33573,42253,49200,28437,11572,14253,1798,34724"
0(t0)^0(t1) ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT->t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE,0.0000072808,0.9737855767173123,"39058,23515,15729,11234,49042,39009,2084,518,2202,34776,46556,20727,42181,35159,26412,15841,9215,12123,44734,32206,36490,48228,44641,44258,33476,8422,10324,40945,23347,16656,49761,35938,42370,9098,32342,18408,39288,18740,32353,18573,47822,48931,21719,40993,19122,26414,38646,41412,15455,46778,19397,47215,37936,31886,49019,21137,27714,32795,21070,31683,39979,4209,43158,6579,8980,37975,22234,14954,13426,34256,34432,10511,35255,12656,15639,39824,41876,11766,23348,18712,16618,22485,26631,43496,25097,30765,3286,46636,18205,10277,420,15654,29206,31970,8984,21443,33150,28802,12993,3843,24184,22241,49767,43563,27379,3791,42090,21897,23425,33355,14155,34081,27704,12978,39978,8215,23380,30426,5332,48428,23931,44188,27973,7872,45939,36559,16101,29505,19885,16609,11130,37922,43174,23825,47921,19285,43272,33318,41348,23392,10023,47366,14128,37782,27109,13921,25970,7401,22671,38411,14517,32791,7094,28414,49391,37877,45548,32864,45297,20760,39401,19766,36929,46200,29030,7934,45310,20640,28072,44969,26002,30831,39556,34766,6867,11856,2155,14400,48917,46632,39594,25875,17801,34157,13089,47950,20816,3090,36900,18432,16419,5476,16989,11662,40436,32845,16584,35466,14392,41427,33634,4545,49021,37086,28270,44125,17002,35418,38597,48409,22588,40889,20797,17113,25940,17569,159,7288,10111,10169,18177,21383,29469,4006,36931,1717,36236,28083,5532,41212,45195,6959,28434,44383,31810,42945,42162,26449,37692,47217,9053,23292,17504,20961,12588,10033,40760,41647,26530,31218,32958,47147,2756,15465,33699,10729,35390,33177,13086,21681,13877,7886,4172,41659,628,14800,29371,13940,33062,35340,23354,8843,31904,6210,45680,5087,39933,36405,39102,20570,5625,46823,30868,19373,9261,33650"
0(t0)^0(t1) ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER->t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE,0.000006496,0.9960745829244357,"31948,43857,18205,35340,37086,6329,10111,13940,43704,45195,23425,5332,26002,47950,41377,36931,31810,9098,40197,48917,23803,32845,4142,31372,49174,32864,41348,35390,23347,23255,16503,13921,20687,40889,28802,26449,33699,28141,10277,34240,19373,31733,10324,9392,48729,39556,34766,2704"
0(t0)^0(t1) ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.DISTANCE=t1.DISTANCE->t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE,0.0000076176,0.9851024208566108,"5876,9327,33494,29498,31733,32845,31810,45195,38420,35340,49174,43857,37877,23347,22216,13940,13921,22130,45872,6329,19223,41348,10014,41837,2084,10111,42850,44262,16503,42834,35466,9067,9228,39957,38217,4441,37086,26002,39980,13827,14691,2704,33699,41573,35782,15639,21333,20744,19583,11234,39070,5202,663,38411,40889,49042,39830,11150,31359,23786,3652,10397,46136,43174,10277,22874,39374,36931,31948,19311,22442,47950,43974,13877,48999,18408,604,14952,25646,36583,40197,37673,1782,11662,45297,32864,23292,6759,1292,25097,13326,43300,32808,39468,48455,18506,1717,31342,9392,48917,23193,26429,31372,37257,18820,21681,9215,35982,34157,13127,27379,4666,48816,40436,26449,22569,31859,18097,13619,18205,10324,9098,27180,35771,33917,15841,39556,34766,20909,49724,2281,35390,36033,11130,19766,5332,3384,32497,28802,47483,11922,23425,12683,28310,4345,19373,23803,38507,48729"
0(t0)^0(t1) ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE,0.000007452,0.956758422350041,"26449,34771,48732,7183,40528,10778,38731,22404,5332,49350,34721,26384,38119,14694,34913,125,2245,30224,25692,725,35977,46259,10023,14165,13561,29063,17058,35703,11662,49042,10960,35423,26850,36492,27413,41382,46713,10324,36427,18231,41530,32667,19384,37951,48414,20411,45002,40721,45110,39572,35305,23912,38528,11296,41556,16420,32864,12029,44825,26296,48089,45919,38768,9667,2107,38548,23113,37556,16246,9215,28141,48917,39719,38812,11616,19696,47767,41316,17893,41734,3993,45330,46483,44742,42446,9586,6706,18326,41183,37697,45888,4334,19736,22353,34766,12744,189,31227,36931,347,46034,4872,49396,7410,1659,5688,8946,46478,39289,18817,39938,42387,24884,4032,11792,34623,16339,30054,23294,28616,14675,13297,32794,38593,38411,21027,43659,13223,15218,10277,1809,23799,44785,24480,41517,43389,18540,12523,48250,44324,26133,2389,43601,21499,17114,32,48856,14823,21527,19766,29862,17167,42985,40680,14112,31759,41652,23347,6559,32101,40124,40926,9098,37281,48042,286,13782,25105,9457,29979,36067,20032,2735,28875,23425,12337,17376,11784,48751,32658,7894,1003,43829,44381,32565,43630,5038,46887,39265,32937,2105,23292,32845,13195,13826,18518,19622,13681,35535,46383,10059,46824,9443,40784,33448,46803,9727,26989,3685,32589,33268,26117,18301,48870,23972,24475,19852,6948,17215,29007,18073,31816,2084,4403,40030,37799,37629,31810,26002,35466,11491,15422,21168,32961,17047,5821,18582,43090,36472,35340,31082,26264,48976,13877,795,22105,37980,29115,25097,16800,42593,28965,9075,46413,46936,16444,11130,49386,12267,42404,15841,31662,46855,25267,9882,40889,23869,37219,416,1138,34160,9527,49933,964,29886,38214,48990,26112,16662,1891,45297,638,13921,43704,42321,35025,42231,39997,45074,28278,16955,21547,15676,611,44,29879,20686,44229,28011,2458,839,6821,45891,19332,33615,15117,21485,35500,9862,10775,17557,39948,13678,393,30604,13559,38248,24112,1717,1494,11234,34916,41348,46039,6229,7673,18957,35390,15463,20640,7644,3985,31927,37769,40391,23226,11398,9141,38123,10111,48880,26472,10149,38681,2517,33699,18408,15639,42855,40436,47188,11861,25203,23288,14061,34157,9013,16333,21911,30730,10397,9131,47207,16688,38238,21198,28802,25549,37877,32437,43174,34958,23919,45798,43221,31748,484,14036,41769,16512,27379,43697,29996,31895,30622,40770,11084,48517,6738,37630,19091,5763,45124,48039,18543,45723,39561,45450,30750,17676,33388,20648,49359,38691,45221,18205,45195,45499,34352,39556,10604,13940,9228,44190,23873,45519,40315,40280,42107,49484,27113,25613,48154,49381,22278,21681,8060,22528,2513,43477,46253,19247,38267,8409,37086,8277,24048,19373,46273,4915,43781,40208,28477,1465,49566,47950,26551,24214,49979,29751,47655,28430,35124,38073,14232,21680,23246,45385,27598,9394,12994,19204,37614,20389,31130"
0(t0)^0(t1) ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.MONTH=t1.MONTH ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER->t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE,0.0000029896,0.9854957805907173,"26114,14971,5760,36851,42922,48220,16971,35148,25880,28141,16792,38929,7803,30541,38417,37120,21650,998,38214,49209,10261,22058,37845,46308,18647,3791,10791,45524,36548,43704,24720,28631,35709,44881,19168,10530,42164,33622,24393,1737,11572,37475,28081,12074,38046,25583,42727,32034,16559,1912,44559,17537,43746,7458,29030,48043,3672,39582,11732,34724,49200,15034,42253,20478,43663,33699,21615,28437,9053,44571,25674,18983,28674,18205,17029,35645,22540,17975,40948,1798,28982,4636,13100,28802,6739,18651,14253,8133,29446,43954,30373,8448,33573,21211,3514"
0(t0)^0(t1) ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT->t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL,0.0000072808,0.9678825906625546,"29874,30590,26053,27848,19192,16688,15867,47101,43760,9241,24161,25669,28331,10515,16199,24683,45910,47987,7369,16223,1281,14926,23414,26051,13812,28434,21908,41465,30892,22467,8474,19118,35661,6610,29839,9980,29250,37577,23206,5325,9048,24057,32511,2281,33376,38747,49584,32697,33614,9022,29959,38854,41711,30506,3795,20222,43228,5270,39603,18712,7081,47661,9544,11987,19158,3052,31692,26223,11647,12527,44187,2926,32393,15370,31034,14648,13646,45763,30490,10424,28054,5036,23195,31740,25312,43883,3397,5134,19255,7205,31633,16299,19080,31192,9122,68,45630,17293,34428,43120,10376,37634,49947,22718,10598,31370,27563,1406,42524,1298,47212,49927,31245,42959,21800,43065,5282,13668,41514,32770,47259,48507,3542,8044,47342,35436,9072,11910,46718,12617,47820,48456,48736,22004,591,30680,34352,21917,31942,39165,48200,40939,25665,16598,204,34968,39289,15487,6273,26869,23979,30799,43627,20111,10391,1565,45074,28258,27062,11090,45266,39929,26886,33185,11227,30094,42239,36682,46711,11663,821,33853,33242,10913,40176,21177,45453,8999,21129,11316,7895,11957,19541,17400,7277,19380,38819,38011,26116,9259,518,45354,28255,17328,40578,22452,35525,39384,9280,40276,11465,41976,35882,30742,10532,38835,15000,30808,47066,46624,7828,47974,38638,655,877,27492,44604,8816,35149,22134,34696,45669,1999,13460,18420,42036,19285,22924,25825,47845,16593,41235,47127,14580,46271,23949,23243,13608,22887,27910,22540,38469,766,3717,23770,46238,8634,21007,38932,11234,36083,41270,26085,35275,43668,28739,38844,30648,30453,14645,33479,45685,33477,21332,16637,35769,9879,10760,18729,5832,31324,32496,8093,33566,3381,19059,12981,49287,42783,36264,35731,48015,41600,40459,41316,35711,1659,23019,35561,46585,5494,8977,16948,39654,37050,8551,6411,32497,16246,43640,32177,12347,40391,19093,26126,2488,44436,7817,33208,3627,29262,14223,25266,22403,41838,1300,24026,4681,14135,5323,2790,22588,1620,7288,6688,9261,23785,43819,31631,48545,30699,33473,21710,11812,5868,42359,36362,4474,14731,42476,18206,15969,13020,28851,39528,48428,39085,24213,22635,37626,742,49060,42782,43840,46618,3670,7083,38564,19447,4430,37192,14069,45890,25049,28018,37808,1590"
