iter	Passed	Remaining
0	7	7781
1	13	6859
2	19	6482
3	28	7077
4	36	7197
5	44	7383
6	52	7458
7	60	7531
8	69	7681
9	76	7603
10	84	7582
11	91	7495
12	98	7448
13	105	7400
14	112	7375
15	119	7363
16	127	7350
17	133	7269
18	139	7194
19	145	7121
20	150	7028
21	157	6990
22	163	6937
23	169	6895
24	175	6850
25	181	6783
26	187	6771
27	194	6738
28	200	6720
29	207	6704
30	214	6699
31	220	6677
32	227	6664
33	233	6645
34	240	6626
35	247	6632
36	254	6622
37	261	6625
38	268	6616
39	275	6622
40	282	6611
41	289	6614
42	296	6602
43	303	6597
44	310	6594
45	317	6589
46	324	6579
47	331	6584
48	338	6577
49	345	6557
50	351	6533
51	356	6506
52	363	6491
53	369	6470
54	374	6441
55	380	6418
56	387	6413
57	394	6409
58	402	6412
59	409	6410
60	417	6419
61	424	6418
62	430	6408
63	438	6409
64	445	6402
65	451	6393
66	458	6383
67	465	6375
68	471	6362
69	478	6351
70	486	6359
71	493	6360
72	499	6345
73	506	6340
74	513	6329
75	519	6315
76	525	6298
77	531	6286
78	537	6265
79	543	6245
80	549	6232
81	555	6214
82	560	6197
83	567	6190
84	573	6171
85	579	6159
86	585	6145
87	591	6132
88	598	6130
89	605	6123
90	612	6120
91	619	6113
92	626	6112
93	633	6104
94	640	6103
95	647	6100
96	654	6096
97	662	6102
98	669	6091
99	676	6085
100	682	6073
101	688	6058
102	694	6051
103	701	6045
104	708	6038
105	715	6034
106	722	6027
107	729	6024
108	736	6017
109	743	6014
110	749	6004
111	756	5998
112	762	5981
113	767	5966
114	774	5959
115	780	5949
116	787	5942
117	793	5933
118	800	5923
119	806	5913
120	812	5903
121	819	5895
122	825	5885
123	832	5881
124	838	5871
125	845	5866
126	852	5859
127	859	5855
128	866	5847
129	873	5843
130	880	5841
131	887	5835
132	894	5828
133	900	5822
134	906	5810
135	912	5799
136	919	5789
137	925	5781
138	931	5767
139	937	5755
140	943	5746
141	949	5738
142	955	5725
143	961	5715
144	969	5714
145	976	5709
146	983	5706
147	990	5703
148	998	5700
149	1006	5700
150	1012	5694
151	1021	5696
152	1028	5691
153	1035	5689
154	1043	5686
155	1050	5682
156	1056	5674
157	1064	5672
158	1071	5665
159	1079	5669
160	1087	5667
161	1093	5658
162	1101	5655
163	1108	5650
164	1115	5644
165	1122	5638
166	1128	5628
167	1135	5621
168	1141	5610
169	1147	5600
170	1153	5592
171	1159	5580
172	1166	5577
173	1173	5572
174	1180	5564
175	1186	5555
176	1193	5551
177	1200	5543
178	1206	5535
179	1213	5529
180	1219	5519
181	1226	5513
182	1232	5503
183	1240	5502
184	1247	5496
185	1254	5490
186	1261	5484
187	1267	5475
188	1273	5466
189	1279	5454
190	1286	5447
