iter	Logloss
0	0.6715295846
1	0.6505030169
2	0.6303782436
3	0.6112016078
4	0.5929440308
5	0.5753502546
6	0.5585054234
7	0.5427830287
8	0.527272862
9	0.512910941
10	0.4986268834
11	0.4855133929
12	0.4729230172
13	0.4604474313
14	0.4487063163
15	0.4372429548
16	0.4263542829
17	0.416111799
18	0.4065149798
19	0.3968703788
20	0.3880558123
21	0.3796945626
22	0.3714964948
23	0.363525565
24	0.3560033744
25	0.3491271755
26	0.3419546073
27	0.3353370449
28	0.329221344
29	0.3232616534
30	0.3175195966
31	0.311446555
32	0.3062166922
33	0.3012086923
34	0.2961417716
35	0.2912611389
36	0.2868350438
37	0.2825716291
38	0.2785559082
39	0.2746328735
40	0.2710650635
41	0.2673692104
42	0.2638571821
43	0.2603643363
44	0.2574051775
45	0.2544685582
46	0.2515138899
47	0.2488362776
48	0.2461904035
49	0.243346732
50	0.2410569545
51	0.2384926714
52	0.2362802124
53	0.2341551208
54	0.2320557077
55	0.2300496129
56	0.2281702968
57	0.2261082458
58	0.2241191319
59	0.2223798479
60	0.2204682268
61	0.2187539019
62	0.2170940508
63	0.215584259
64	0.2141110665
65	0.2127045986
66	0.2112447466
67	0.2097265625
68	0.2082902745
69	0.2071868896
70	0.2060014125
71	0.2049453735
72	0.2036232431
73	0.2026218959
74	0.2014870344
75	0.2005412946
76	0.1997140503
77	0.1987057931
78	0.1978025164
79	0.1969839478
80	0.1962595476
81	0.1954878671
82	0.1945438712
83	0.1939025007
84	0.1931364223
85	0.1923687526
86	0.1916467503
87	0.1910807146
88	0.1903835842
89	0.1897114999
90	0.1889384896
91	0.188185948
92	0.1875588117
93	0.1870646885
94	0.1865100534
95	0.1858674186
96	0.1851645551
97	0.1847402082
98	0.1840851048
99	0.1836294774
100	0.183147583
101	0.1826295689
102	0.181958095
103	0.1815155247
104	0.1811974662
105	0.1807618277
106	0.1803269087
107	0.1797450365
108	0.1792882756
109	0.1789267949
110	0.1785181754
111	0.1781497519
112	0.1779433005
113	0.1775471606
114	0.1770884487
115	0.1766120911
116	0.1762538583
117	0.1757862745
118	0.1753541783
119	0.1748926217
120	0.1746153804
121	0.1741394697
122	0.173899122
123	0.1734942954
124	0.1730504608
125	0.1727861895
126	0.1724774715
127	0.1721505955
128	0.1718415179
129	0.171519056
130	0.1712643433
131	0.1710780988
132	0.1706359645
133	0.1703261675
134	0.1700470407
135	0.1698405239
136	0.1694187818
137	0.1691033609
138	0.1688050624
139	0.1685054125
140	0.1681765202
141	0.1678149959
142	0.1673717172
143	0.1670590973
144	0.1667162214
145	0.1664357431
146	0.1662211827
147	0.1659971946
148	0.1657913535
149	0.1656001391
150	0.1653409794
151	0.1650443595
152	0.1647296688
153	0.1643901498
154	0.1641528974
155	0.1638782501
156	0.163524486
157	0.1632599749
158	0.1630249677
159	0.162853884
160	0.1626753671
161	0.1624745832
162	0.1622342246
163	0.1618941825
164	0.1615566799
165	0.1613593946
166	0.1611032322
167	0.1608070483
168	0.1605912781
169	0.1603535788
170	0.1601582772
171	0.1598838588
172	0.1596910967
173	0.1594425528
174	0.1592340415
175	0.1590883527
176	0.158968495
177	0.1588333784
178	0.1586537279
179	0.158334198
180	0.1581173924
181	0.157888576
182	0.1577032253
183	0.1575424194
184	0.1573501369
185	0.1571308463
186	0.1569938878
187	0.1568215288
188	0.1566154916
189	0.1564279611
190	0.1561897387
191	0.1560225568
192	0.15580416
193	0.1555475071
194	0.1552695356
195	0.155008207
196	0.1548482949
197	0.1545353045
198	0.1543662698
199	0.1542099653
200	0.1540035139
201	0.1538511876
202	0.153697161
203	0.1535527911
204	0.153284389
205	0.1529951041
206	0.1528279223
207	0.1526660483
208	0.1525436837
209	0.1523230416
210	0.152108939
211	0.1519556972
212	0.1518018668
213	0.1516399166
214	0.1514927128
215	0.1513551767
216	0.1512202236
217	0.1510563006
218	0.1508431462
219	0.1506629944
220	0.1503682382
221	0.1502640206
222	0.1500633131
223	0.1498203823
224	0.1496230861
225	0.1492926788
226	0.1491290937
227	0.1489201137
228	0.1487978472
229	0.1485832868
230	0.1483819689
231	0.1482048689
232	0.1479415894
233	0.147746582
234	0.1475448826
235	0.1473961421
236	0.147182639
237	0.1469769178
238	0.1468866403
239	0.1466688429
240	0.1464438302
241	0.1462087686
242	0.146114175
243	0.1458799744
244	0.145681512
245	0.1455568586
246	0.1454384177
247	0.1453642055
248	0.1452126421
249	0.1451074219
250	0.1448412323
251	0.1445920454
252	0.144541844
253	0.1444777352
254	0.1443411473
255	0.144192712
256	0.1440036011
257	0.1438322994
258	0.1436831992
259	0.1434577615
260	0.1433147757
261	0.1430653817
262	0.1428093828
263	0.1424946812
264	0.1422787367
265	0.1420759365
266	0.1419610378
267	0.1418641118
268	0.1416630554
269	0.1414959826
270	0.1412758963
271	0.1410547747
272	0.1409832219
273	0.1407435826
274	0.1406041609
275	0.1404548536
276	0.1403497532
277	0.1402350725
278	0.140096392
279	0.1399381583
280	0.1396931784
281	0.1396036312
282	0.1394466836
283	0.1392138018
284	0.1391124289
285	0.13898189
286	0.1387918091
287	0.138613521
288	0.1383899907
289	0.1382128252
290	0.1380424282
291	0.1379526411
292	0.1378311702
293	0.1376619393
294	0.1374611991
295	0.1373116847
296	0.1371871294
297	0.1370451355
298	0.1369088745
299	0.1367973764
300	0.1366739328
301	0.1365281459
302	0.1364378357
303	0.1362659454
304	0.1361192758
305	0.135945707
306	0.1357706233
307	0.1355977413
308	0.135488521
309	0.1353144182
310	0.1351605443
311	0.1350083705
312	0.1348378427
313	0.1346764047
314	0.1344227382
315	0.1342413221
316	0.134129061
317	0.1340354919
318	0.1338824681
319	0.1337153299
320	0.1336192758
321	0.1335008894
322	0.1333101545
323	0.1331892177
324	0.1330379377
325	0.1328372955
326	0.1327775792
327	0.1326023865
328	0.1324088941
329	0.1322559902
330	0.1321487645
331	0.1319736917
332	0.1318536813
333	0.1317889731
334	0.1316333226
335	0.1315054866
336	0.1313957323
337	0.1312834603
338	0.1311461857
339	0.1309720285
340	0.1308544704
341	0.1306805093
342	0.1304651315
343	0.1303590066
344	0.1302312578
345	0.1300832149
346	0.1298557173
347	0.1297613089
348	0.1295533207
349	0.1294173649
350	0.1292756871
351	0.1290823364
352	0.1289320701
353	0.1288307626
354	0.1286302294
355	0.1284102522
356	0.1283203343
357	0.1282239097
358	0.1280226571
359	0.1278693281
360	0.1277193233
361	0.1275709752
362	0.1274623326
363	0.1273876626
364	0.1271650696
365	0.1270261383
366	0.126935948
367	0.1268482099
368	0.1267076002
369	0.1265339879
370	0.1264352853
371	0.1263140433
372	0.1262298802
373	0.1261422185
374	0.1260508183
375	0.1258833749
376	0.1257376535
377	0.1255908203
378	0.1253752572
379	0.1252100263
380	0.1249963924
381	0.1249544525
382	0.1247748566
383	0.1246658216
384	0.1244844382
385	0.1243840899
386	0.1242085702
387	0.1239917646
388	0.1238490949
389	0.1237570626
390	0.1236524527
391	0.1234664481
392	0.1233107758
393	0.1231200954
394	0.1230015564
395	0.1227870832
396	0.1226736886
397	0.1225224958
398	0.1223499625
399	0.1222194345
400	0.1220932225
401	0.1219898769
402	0.1218602317
403	0.1217013332
404	0.1215363857
405	0.1213950893
406	0.1212879508
407	0.1211826869
408	0.1210771288
409	0.1209642901
410	0.1208667646
411	0.1207276481
412	0.1205252075
413	0.1204281289
414	0.1203187888
415	0.1202317047
416	0.1201183646
417	0.1200542777
418	0.1198878697
419	0.1197419521
420	0.1196341596
421	0.1195254735
422	0.1192742702
423	0.1190847996
424	0.1190139988
425	0.118817324
426	0.1186224474
427	0.1184461321
428	0.1183586121
429	0.1181830924
430	0.1180606733
431	0.1178232901
432	0.1177451869
433	0.1175545175
434	0.1174572754
435	0.1173238264
436	0.1171707262
437	0.1169155775
438	0.1167138018
439	0.1166535514
440	0.1164488438
441	0.1163121578
442	0.1161793954
443	0.1160698373
444	0.1158899253
445	0.1157827977
446	0.1156694576
447	0.1155637905
448	0.1154875946
449	0.1153315735
450	0.1152043479
451	0.1150451551
452	0.1148754447
453	0.1147632599
454	0.1146822793
455	0.1145835876
456	0.1144982147
457	0.1143133436
458	0.1141548484
459	0.1139781734
460	0.1137921143
461	0.1136560059
462	0.1134889003
463	0.1133483451
464	0.1131933703
465	0.1131329891
466	0.1129868644
467	0.1129428755
468	0.1127802604
469	0.1127394976
470	0.1125938416
471	0.1124722072
472	0.1123027148
473	0.1121744101
474	0.1119816153
475	0.1119202859
476	0.1117704991
477	0.1116303035
478	0.1114488002
479	0.1113470677
480	0.1111792755
481	0.1110099574
482	0.1108561271
483	0.1107268197
484	0.1105526624
485	0.1104760415
486	0.110339301
487	0.1102687945
488	0.1101310403
489	0.1099674879
490	0.1098676627
491	0.1098151289
492	0.1097676522
493	0.1097047424
494	0.1095745632
495	0.1093911089
496	0.1091571154
497	0.1090904018
498	0.1089574105
499	0.1088511876
500	0.1087924521
501	0.1086605944
502	0.1085562134
503	0.1084468515
504	0.1084164974
505	0.1082220786
506	0.1080475289
507	0.1079180254
508	0.1078199659
509	0.1077418082
510	0.1076031603
511	0.1075454494
512	0.1073579625
513	0.107147304
514	0.1070267051
515	0.1069211469
516	0.106825943
517	0.1066151428
518	0.1064668274
519	0.1064092582
520	0.1062355259
521	0.1061316899
522	0.1060393851
523	0.1059163884
524	0.1058120946
525	0.1057504817
526	0.1056425912
527	0.1054769353
528	0.1054083252
529	0.1052484676
530	0.1051692854
531	0.1051171657
532	0.1050609044
533	0.1049902344
534	0.1048152597
535	0.1047150748
536	0.1046674456
537	0.1044430869
538	0.1043751199
539	0.104227393
540	0.1040976388
541	0.1039757756
542	0.1038430786
543	0.1037701416
544	0.1036683328
545	0.1035729545
546	0.1034473528
547	0.103349762
548	0.1032963126
549	0.1031409127
550	0.1030621556
551	0.1029547773
552	0.1028364345
553	0.1027077593
554	0.1026269531
555	0.1025607736
556	0.1024298968
557	0.1023297664
558	0.1022746277
559	0.1021635001
560	0.102068525
561	0.101935403
562	0.1017909023
563	0.1016818237
564	0.1015190996
565	0.1014115688
566	0.1013531167
567	0.1012801906
568	0.1012467412
569	0.101083483
570	0.1009571838
571	0.1008173915
572	0.1007474627
573	0.1006586783
574	0.1005572183
575	0.1004639326
576	0.1003349086
577	0.1001997375
578	0.1001418849
579	0.1000870623
580	0.1000469535
581	0.09989372253
582	0.09972946167
583	0.09964885167
584	0.09952471052
585	0.09949140276
586	0.09943882533
587	0.0993044172
588	0.09924738203
589	0.09914956229
590	0.09904279436
591	0.09899242946
592	0.09889356341
593	0.09884259905
594	0.0986945016
595	0.09856588091
596	0.09844790867
597	0.09831327166
598	0.09822514125
599	0.09815478734
600	0.09813623701
601	0.09803965977
602	0.09801073347
603	0.09795333862
604	0.09789683751
605	0.09785005842
606	0.09778447832
607	0.0976688603
608	0.09753716605
609	0.09748129708
610	0.09743147714
611	0.09734173366
612	0.09723057338
613	0.09711924962
614	0.09699565342
615	0.09691293989
616	0.09668236869
617	0.09657233102
618	0.09647603716
619	0.09642489842
620	0.09638122559
621	0.09632502965
622	0.09628045218
623	0.09615243094
624	0.09609534127
625	0.0960017831
626	0.09594146729
627	0.09588858468
628	0.09577429635
629	0.09568697248
630	0.09557618277
631	0.09544239589
632	0.09541974749
633	0.09526882717
634	0.09520051139
635	0.09509986877
636	0.09500269209
637	0.09491947719
638	0.0948361533
639	0.09479919434
640	0.0947530692
641	0.09471256801
642	0.09452731541
643	0.09444422041
644	0.0943901716
645	0.09423093523
646	0.09421724592
647	0.09418248858
648	0.09405548096
649	0.09401871817
650	0.09399139404
651	0.09392551967
652	0.09383625575
653	0.09372576032
654	0.09362436567
655	0.09353417533
656	0.09347817557
657	0.09337262835
658	0.0933178275
659	0.09322172982
660	0.09317134312
661	0.09310188293
662	0.09299968175
663	0.09290441241
664	0.09286139352
665	0.09277136666
666	0.09267030988
667	0.09259980338
668	0.0925768498
669	0.09244463239
670	0.0923235866
671	0.0922807966
672	0.0921686118
673	0.09204844884
674	0.09190826416
675	0.09183079311
676	0.09167914254
677	0.09156304496
678	0.09146541051
679	0.09136128017
680	0.09131105695
681	0.09126219613
682	0.09115967887
683	0.09105428423
684	0.09100401742
685	0.09093245915
686	0.09085289546
687	0.09070768629
688	0.09068108695
689	0.09063977923
690	0.09060391562
691	0.09056725638
692	0.09043628693
693	0.09035077231
694	0.09022638593
695	0.09007991246
696	0.09006345476
697	0.09002320971
698	0.0899350793
699	0.08986566816
700	0.08978651319
701	0.08972475324
702	0.08961369106
703	0.08955746242
704	0.08946295602
705	0.08938525064
706	0.08933510372
707	0.08931133815
708	0.08925916944
709	0.08914263589
710	0.08905222212
711	0.08893122537
712	0.08883861542
713	0.08879565103
714	0.08874425616
715	0.08865966797
716	0.08856135777
717	0.08851190839
718	0.08842514038
719	0.08831971305
720	0.08830208915
721	0.0881792232
722	0.08816616603
723	0.08809783936
724	0.08799818856
725	0.08797683716
726	0.08795520782
727	0.08788284302
728	0.0877891922
729	0.08776176998
730	0.08765284947
731	0.08752592359
732	0.0874281529
733	0.08735618591
734	0.08719686236
735	0.08704504286
736	0.08703193665
737	0.08698233468
738	0.08684755598
739	0.0867005321
740	0.08660624368
741	0.08646239689
742	0.08634914943
743	0.08631397792
744	0.08624529157
745	0.08618561881
746	0.08611748832
747	0.08599733625
748	0.08590963091
749	0.08584709712
750	0.08578046526
751	0.08565181187
752	0.08558508737
753	0.08545637403
754	0.08539503915
755	0.08534725189
756	0.08526411329
757	0.08520324707
758	0.08514128549
759	0.08502500262
760	0.08497826712
761	0.08496201106
762	0.08484026228
763	0.08477057321
764	0.08472772871
765	0.08462461744
766	0.08455134801
767	0.08451766423
768	0.08445906503
769	0.08437392099
770	0.08425621033
771	0.08412188939
772	0.08402928489
773	0.08395119258
774	0.08389208112
775	0.08383468628
776	0.08370560237
777	0.08360182081
778	0.08358407157
779	0.08356806619
780	0.08348542895
781	0.08343231746
782	0.083328525
783	0.08328048161
784	0.08326101576
785	0.08314888
786	0.08302965982
787	0.08295978001
788	0.08293648311
789	0.08285011836
790	0.08268981934
791	0.08266324724
792	0.08263011387
793	0.08256159101
794	0.08248940059
795	0.08237351009
796	0.08225037711
797	0.08217096601
798	0.08207302638
799	0.08191836766
800	0.08187518529
801	0.08183808463
802	0.08173485892
803	0.0816501127
