iter	Passed	Remaining
0	2	2926
1	5	2827
2	8	2692
3	10	2592
4	12	2585
5	15	2561
6	18	2580
7	20	2573
8	23	2571
9	25	2557
10	28	2545
11	30	2545
12	33	2550
13	36	2545
14	38	2528
15	41	2525
16	43	2517
17	46	2515
18	49	2549
19	52	2551
20	54	2555
21	57	2554
22	60	2557
23	63	2571
24	66	2574
25	68	2566
26	71	2558
27	73	2555
28	76	2563
29	79	2562
30	81	2561
31	84	2557
32	87	2552
33	89	2543
34	92	2554
35	95	2555
36	98	2558
37	101	2561
38	103	2562
39	107	2569
40	109	2565
41	112	2557
42	114	2553
43	117	2548
44	119	2545
45	122	2549
46	125	2549
47	128	2545
48	130	2540
49	133	2535
50	136	2541
51	139	2540
52	142	2542
53	145	2540
54	147	2535
55	150	2536
56	153	2534
57	155	2529
58	158	2523
59	160	2520
60	163	2522
61	166	2519
62	169	2515
63	171	2510
64	174	2507
65	177	2505
66	180	2510
67	183	2510
68	185	2508
69	188	2504
70	190	2498
71	193	2499
72	196	2494
73	198	2488
74	201	2482
75	203	2476
76	206	2474
77	209	2474
78	211	2470
79	214	2465
80	217	2462
81	219	2458
82	222	2458
83	225	2459
84	228	2455
85	230	2450
86	233	2445
87	235	2444
88	238	2440
89	241	2436
90	243	2433
91	246	2429
92	248	2426
93	251	2422
94	253	2417
95	256	2410
96	258	2404
97	260	2397
98	262	2392
99	265	2387
100	267	2383
101	270	2377
102	272	2372
103	274	2367
104	277	2361
105	280	2361
106	282	2359
107	285	2354
108	287	2349
109	289	2345
110	292	2341
111	294	2338
112	297	2333
113	299	2329
114	302	2324
115	304	2320
116	306	2316
117	309	2315
118	312	2313
119	315	2311
120	317	2306
121	319	2302
122	322	2302
123	325	2300
124	328	2297
125	330	2293
126	332	2288
127	335	2285
128	338	2285
129	341	2282
130	343	2277
131	345	2272
132	348	2270
133	351	2270
134	354	2270
135	356	2267
136	359	2264
137	361	2260
138	364	2257
139	367	2258
140	370	2256
141	373	2255
142	375	2251
143	378	2247
144	380	2246
145	383	2242
146	385	2238
147	388	2235
148	390	2231
149	393	2229
150	395	2226
151	398	2222
152	400	2218
153	403	2214
154	405	2210
155	408	2208
156	411	2207
157	413	2205
158	416	2201
159	418	2197
160	420	2193
161	423	2190
162	425	2186
163	428	2181
164	430	2178
165	432	2174
166	435	2170
167	438	2169
168	440	2167
169	443	2164
170	445	2160
171	448	2156
172	450	2153
173	452	2150
174	455	2146
175	457	2142
176	459	2138
177	462	2134
178	464	2131
179	467	2129
180	469	2126
181	472	2123
182	474	2119
183	476	2115
184	479	2113
185	482	2109
186	484	2105
187	486	2102
188	488	2098
189	491	2094
190	494	2092
191	497	2092
192	499	2090
193	502	2087
194	504	2083
195	507	2079
196	510	2079
197	512	2077
198	515	2074
199	517	2070
200	520	2067
201	522	2065
202	525	2064
203	528	2061
204	530	2058
205	533	2056
206	536	2054
207	539	2053
208	542	2051
209	544	2049
210	547	2046
211	549	2043
212	552	2041
213	555	2040
214	558	2038
215	561	2036
216	563	2033
217	566	2031
218	568	2029
219	571	2025
220	573	2022
221	576	2020
222	578	2017
223	581	2015
224	584	2013
225	587	2011
226	589	2008
227	592	2006
228	595	2003
229	597	2000
230	599	1997
231	602	1993
232	604	1989
233	606	1986
234	609	1983
235	611	1980
236	614	1977
237	616	1974
238	619	1971
239	621	1967
240	624	1966
241	626	1963
242	629	1960
243	631	1956
244	633	1953
245	636	1949
246	639	1948
247	641	1945
248	643	1941
249	646	1938
250	648	1935
251	650	1931
252	653	1929
253	655	1926
254	658	1923
255	660	1920
