iter	Passed	Remaining
0	4	4230
1	6	3153
2	8	2682
3	9	2436
4	11	2255
5	12	2118
6	14	2040
7	17	2210
8	19	2145
9	21	2080
10	22	2022
11	23	1968
12	25	1917
13	27	1907
14	29	1961
15	32	1969
16	33	1946
17	35	1912
18	36	1879
19	37	1852
20	39	1821
21	40	1799
22	42	1815
23	46	1898
24	48	1882
25	49	1870
26	51	1848
27	52	1830
28	54	1808
29	55	1791
30	60	1884
31	63	1922
32	65	1911
33	66	1889
34	67	1873
35	69	1859
36	71	1857
37	74	1890
38	76	1880
39	77	1866
40	79	1850
41	80	1835
42	81	1822
43	83	1809
44	84	1795
45	86	1802
46	88	1801
47	90	1797
48	92	1788
49	93	1777
50	95	1768
51	96	1762
52	98	1751
53	101	1777
54	103	1778
55	105	1774
56	106	1765
57	108	1756
58	109	1747
59	110	1738
60	112	1733
61	116	1763
62	118	1756
63	119	1747
64	120	1739
65	122	1733
66	123	1724
67	125	1716
68	127	1724
69	130	1737
70	132	1734
71	134	1727
72	135	1720
73	136	1712
74	138	1707
75	142	1735
76	144	1730
77	145	1723
78	147	1716
79	148	1709
80	150	1702
81	151	1698
82	153	1697
83	156	1706
84	157	1700
85	159	1692
86	160	1686
87	162	1679
88	163	1673
89	164	1666
90	166	1661
91	167	1656
92	171	1673
93	173	1670
94	174	1666
95	176	1660
96	177	1654
97	179	1647
98	180	1643
99	182	1646
100	185	1652
101	187	1649
102	188	1645
103	190	1639
104	191	1635
105	193	1630
106	195	1628
107	198	1638
108	201	1645
109	203	1644
110	204	1639
111	206	1634
112	207	1629
113	209	1627
114	211	1629
115	216	1649
116	218	1648
117	220	1646
118	222	1644
119	224	1646
120	228	1661
121	230	1658
122	232	1655
123	233	1650
124	235	1646
125	236	1643
126	241	1660
127	243	1657
128	245	1655
129	246	1651
130	248	1647
131	250	1644
132	252	1645
133	256	1658
134	258	1655
135	260	1652
136	261	1649
137	263	1645
138	265	1641
139	268	1646
140	270	1645
141	271	1642
142	273	1638
143	274	1634
144	276	1630
145	278	1629
146	281	1631
147	283	1632
148	285	1630
149	287	1626
150	288	1622
151	290	1620
152	292	1619
153	296	1626
154	297	1624
155	299	1621
156	301	1618
157	303	1615
158	304	1612
159	307	1612
160	310	1620
161	312	1616
162	314	1612
163	315	1608
164	317	1606
165	318	1602
166	322	1607
167	324	1605
168	325	1602
169	327	1599
170	329	1595
171	330	1591
172	332	1588
173	334	1588
174	338	1597
175	340	1596
176	342	1593
177	344	1590
178	345	1586
179	347	1584
180	350	1584
181	352	1584
182	354	1582
183	355	1578
184	357	1575
185	359	1571
186	361	1570
187	364	1572
188	365	1569
189	367	1566
190	369	1563
191	370	1559
192	372	1555
193	374	1554
194	376	1552
195	380	1559
196	383	1562
197	384	1559
198	386	1556
199	404	1619
200	407	1620
201	409	1618
