Accuracy,F1,Precision,Recall,Dataset
1,1,1,1,../datasets/multi_class/drybean.csv
0.899,0.899,0.899,0.899,../datasets/multi_class/obesity.csv
0.856,0.856,0.857,0.856,../datasets/multi_class/balita.csv
0.788,0.788,0.788,0.788,../datasets/multi_class/apple.csv
0.755,0.758,0.763,0.755,../datasets/multi_class/adult.csv
0.548,0.548,0.547,0.548,../datasets/multi_class/body.csv
0.742,0.743,0.744,0.742,../datasets/multi_class/online.csv
0.88,0.879,0.879,0.88,../datasets/multi_class/star.csv
0.789,0.794,0.801,0.789,../datasets/multi_class/Student.csv
0.886,0.886,0.886,0.886,../datasets/real_outlier/Cardiotocography.csv
0.942,0.942,0.942,0.942,../datasets/real_outlier/annthyroid.csv
0.985,0.985,0.985,0.985,../datasets/real_outlier/optdigits.csv
0.934,0.933,0.931,0.934,../datasets/real_outlier//PageBlocks.csv
0.996,0.996,0.996,0.996,../datasets/real_outlier/pendigits.csv
0.835,0.836,0.836,0.835,../datasets/real_outlier/satellite.csv
0.996,0.996,0.996,0.996,../datasets/real_outlier/shuttle.csv
0.689,0.683,0.68,0.689,../datasets/real_outlier/yeast.csv
